id,game_id,sport,ts,book,away_ml,home_ml,snapshot_type,commence_time
1,mlb-198233ed5390fadb40e84cac794551ab,mlb,2026-09-22T01:26:42.483627,fanduel,-440,310,open,2026-09-21T23:20:00Z
2,mlb-198233ed5390fadb40e84cac794551ab,mlb,2026-09-22T01:26:42.483627,draftkings,-332,238,open,2026-09-21T23:20:00Z
3,mlb-198233ed5390fadb40e84cac794551ab,mlb,2026-09-22T01:26:42.483627,pinnacle,-247,198,open,2026-09-21T23:20:00Z
4,mlb-198233ed5390fadb40e84cac794551ab,mlb,2026-09-22T01:26:42.483627,betmgm,-300,230,open,2026-09-21T23:20:00Z
5,mlb-7294e99a67c70c66b6edecf9841d4f03,mlb,2026-09-22T01:26:42.483627,fanduel,-130,110,open,2026-09-22T01:46:00Z
6,mlb-7294e99a67c70c66b6edecf9841d4f03,mlb,2026-09-22T01:26:42.483627,pinnacle,-122,113,open,2026-09-22T01:46:00Z
7,mlb-7294e99a67c70c66b6edecf9841d4f03,mlb,2026-09-22T01:26:42.483627,draftkings,-132,109,open,2026-09-22T01:46:00Z
8,mlb-7294e99a67c70c66b6edecf9841d4f03,mlb,2026-09-22T01:26:42.483627,betmgm,-135,110,open,2026-09-22T01:46:00Z
9,mlb-394e1e2b849c5b4eaf2b5984eaa74b79,mlb,2026-09-22T01:26:42.483627,fanduel,112,-132,open,2026-09-22T17:06:00Z
10,mlb-394e1e2b849c5b4eaf2b5984eaa74b79,mlb,2026-09-22T01:26:42.483627,betmgm,105,-130,open,2026-09-22T17:06:00Z
11,mlb-394e1e2b849c5b4eaf2b5984eaa74b79,mlb,2026-09-22T01:26:42.483627,draftkings,109,-131,open,2026-09-22T17:06:00Z
12,mlb-394e1e2b849c5b4eaf2b5984eaa74b79,mlb,2026-09-22T01:26:42.483627,pinnacle,112,-124,open,2026-09-22T17:06:00Z
13,mlb-7fafa79a573ac098f38c8c6c4293b93e,mlb,2026-09-22T01:26:42.483627,fanduel,102,-120,open,2026-09-22T22:36:00Z
14,mlb-7fafa79a573ac098f38c8c6c4293b93e,mlb,2026-09-22T01:26:42.483627,draftkings,101,-122,open,2026-09-22T22:36:00Z
15,mlb-7fafa79a573ac098f38c8c6c4293b93e,mlb,2026-09-22T01:26:42.483627,pinnacle,105,-116,open,2026-09-22T22:36:00Z
16,mlb-7fafa79a573ac098f38c8c6c4293b93e,mlb,2026-09-22T01:26:42.483627,betmgm,100,-120,open,2026-09-22T22:36:00Z
17,mlb-e1693becb4cbacb4b30e46c1c960d9a5,mlb,2026-09-22T01:26:42.483627,fanduel,138,-164,open,2026-09-22T22:41:00Z
18,mlb-e1693becb4cbacb4b30e46c1c960d9a5,mlb,2026-09-22T01:26:42.483627,draftkings,129,-156,open,2026-09-22T22:41:00Z
19,mlb-e1693becb4cbacb4b30e46c1c960d9a5,mlb,2026-09-22T01:26:42.483627,betmgm,135,-160,open,2026-09-22T22:41:00Z
20,mlb-e1693becb4cbacb4b30e46c1c960d9a5,mlb,2026-09-22T01:26:42.483627,pinnacle,130,-144,open,2026-09-22T22:41:00Z
21,mlb-2ec6c946384087513c61f58aad6e082f,mlb,2026-09-22T01:26:42.483627,fanduel,120,-142,open,2026-09-22T22:41:00Z
22,mlb-2ec6c946384087513c61f58aad6e082f,mlb,2026-09-22T01:26:42.483627,betmgm,115,-140,open,2026-09-22T22:41:00Z
23,mlb-2ec6c946384087513c61f58aad6e082f,mlb,2026-09-22T01:26:42.483627,draftkings,113,-137,open,2026-09-22T22:41:00Z
24,mlb-2ec6c946384087513c61f58aad6e082f,mlb,2026-09-22T01:26:42.483627,pinnacle,116,-128,open,2026-09-22T22:41:00Z
