game_id,sport,game_date,start_time_utc,venue_id,away,home,away_starter,home_starter,away_score,home_score,status,away_starter_id,home_starter_id
mlb-890be5ce6e3ea3d7c6f0b76bd9a0e45a,mlb,2026-09-25,2026-09-25T23:08:00Z,,Cincinnati Reds,Toronto Blue Jays,,,,,scheduled,,
mlb-3aa03f1c80c2ca97a49e0b7548d9e647,mlb,2026-09-25,2026-09-25T23:08:00Z,,Pittsburgh Pirates,Detroit Tigers,,,,,scheduled,,
mlb-3fe14d478bc1ffac17198c460085ca70,mlb,2026-09-25,2026-09-25T23:31:12Z,,Baltimore Orioles,New York Yankees,,,,,scheduled,,
mlb-12c52c4f4de763e9a171ffac0f4f02ef,mlb,2026-09-25,2026-09-25T23:41:00Z,,St. Louis Cardinals,Milwaukee Brewers,,,,,scheduled,,
mlb-b6829a3017da7786aceea335c5c36bb3,mlb,2026-09-25,2026-09-25T23:42:04Z,,Colorado Rockies,Chicago White Sox,,,,,scheduled,,
mlb-9f08a9d734982153de27326c32e8be0e,mlb,2026-09-25,2026-09-26T00:11:00Z,,Texas Rangers,Minnesota Twins,,,,,scheduled,,
mlb-7bd30076728c7fcf1f893c1d269a60af,mlb,2026-09-25,2026-09-26T00:21:00Z,,Cleveland Guardians,Kansas City Royals,,,,,scheduled,,
mlb-eb8b9160f66fc6d5f6bd58bf4a888011,mlb,2026-09-25,2026-09-26T01:41:00Z,,Arizona Diamondbacks,San Diego Padres,,,,,scheduled,,
mlb-de8bbf8d379bf416df612c557ddd338a,mlb,2026-09-25,2026-09-26T01:41:00Z,,Houston Astros,Athletics,,,,,scheduled,,
mlb-60b3d02ac77cf6a81e234358cfe187bb,mlb,2026-09-25,2026-09-26T02:11:00Z,,Los Angeles Angels,Seattle Mariners,,,,,scheduled,,
mlb-e47efe97f629cae0287ca6f3ea6d6794,mlb,2026-09-25,2026-09-26T02:16:00Z,,Los Angeles Dodgers,San Francisco Giants,,,,,scheduled,,
mlb-287e49b158c6a0b40e1ca1a98f81cee8,mlb,2026-09-26,2026-09-26T16:36:00Z,,New York Mets,Washington Nationals,,,,,scheduled,,
mlb-0112f4a595862d820eb4e9640d31ea4c,mlb,2026-09-26,2026-09-26T19:08:00Z,,Cincinnati Reds,Toronto Blue Jays,,,,,scheduled,,
mlb-93809969d7d5e6b21cc1e8a6070121e9,mlb,2026-09-26,2026-09-26T20:06:00Z,,Los Angeles Dodgers,San Francisco Giants,,,,,scheduled,,
mlb-6b474c64214114311f42d90b1a674c02,mlb,2026-09-26,2026-09-26T23:10:00Z,,Cleveland Guardians,Kansas City Royals,,,,,scheduled,,
mlb-5e96347a5c09f2be46dc616aa404bf27,mlb,2026-09-26,2026-09-26T23:11:00Z,,Colorado Rockies,Chicago White Sox,,,,,scheduled,,
mlb-bff2944df94a062f85abadcd9aab1086,mlb,2026-09-26,2026-09-26T23:11:00Z,,St. Louis Cardinals,Milwaukee Brewers,,,,,scheduled,,
mlb-a0fc8eb52d64679d94e7eaa311299d74,mlb,2026-09-26,2026-09-27T00:40:00Z,,Arizona Diamondbacks,San Diego Padres,,,,,scheduled,,
mlb-eba81e8f90abe50ccdfcee55fe0080b8,mlb,2026-09-26,2026-09-27T01:41:00Z,,Los Angeles Angels,Seattle Mariners,,,,,scheduled,,
nfl-b225458a282e140c44c45651255f2f6c,nfl,2026-09-27,2026-09-27T17:00:00Z,,Los Angeles Chargers,Buffalo Bills,,,,,scheduled,,
nfl-613b8cd3a5fab58f7be4e3fd6f76223e,nfl,2026-09-27,2026-09-27T17:00:00Z,,Carolina Panthers,Cleveland Browns,,,,,scheduled,,
nfl-71123be049587b6facce3a20c53e5d09,nfl,2026-09-27,2026-09-27T17:00:00Z,,Cincinnati Bengals,Pittsburgh Steelers,,,,,scheduled,,
nfl-07f552badfa8a565d1be22123713e4da,nfl,2026-09-27,2026-09-27T17:00:00Z,,New York Jets,Detroit Lions,,,,,scheduled,,
nfl-17a730b7d399feeab6a78c30767c29d2,nfl,2026-09-27,2026-09-27T17:00:00Z,,Houston Texans,Indianapolis Colts,,,,,scheduled,,
nfl-1f3cfd315a24d1a7dd5859a8e6b88e18,nfl,2026-09-27,2026-09-27T17:00:00Z,,New England Patriots,Jacksonville Jaguars,,,,,scheduled,,
nfl-0339a0e41bcee12820eb3e64bb5fadb4,nfl,2026-09-27,2026-09-27T17:00:00Z,,Kansas City Chiefs,Miami Dolphins,,,,,scheduled,,
nfl-555afd4a27aaa392662881cffa8f2eef,nfl,2026-09-27,2026-09-27T17:00:00Z,,Tennessee Titans,New York Giants,,,,,scheduled,,
nfl-2a529c108305ffa049d8b6cfdbaa4d36,nfl,2026-09-27,2026-09-27T17:00:00Z,,Seattle Seahawks,Washington Commanders,,,,,scheduled,,
nfl-9d2b09e0f9b6dd5ce0d985894f4f98fa,nfl,2026-09-27,2026-09-27T20:05:00Z,,Arizona Cardinals,San Francisco 49ers,,,,,scheduled,,
nfl-f1724dead3eab61546033032fc782375,nfl,2026-09-27,2026-09-27T20:05:00Z,,Minnesota Vikings,Tampa Bay Buccaneers,,,,,scheduled,,
nfl-84cfca14efc21363fd605508404cf1ff,nfl,2026-09-27,2026-09-27T20:25:00Z,,Baltimore Ravens,Dallas Cowboys,,,,,scheduled,,
nfl-2e523fcb0497aa689473e290eb2b97de,nfl,2026-09-27,2026-09-27T20:25:00Z,,Las Vegas Raiders,New Orleans Saints,,,,,scheduled,,
nfl-3bfd8bfb4b8e9a365a0877879b73b16b,nfl,2026-09-27,2026-09-28T00:20:00Z,,Los Angeles Rams,Denver Broncos,,,,,scheduled,,
nfl-47dc7baa254659f3beb2ed2b38c207b6,nfl,2026-09-28,2026-09-29T00:15:00Z,,Philadelphia Eagles,Chicago Bears,,,,,scheduled,,
nfl-d55cb69fed50a09170560b5b75d8de86,nfl,2026-10-01,2026-10-02T00:15:00Z,,Pittsburgh Steelers,Cleveland Browns,,,,,scheduled,,
nfl-c9d8ed8aa4889486eaf10a630138ede0,nfl,2026-10-04,2026-10-04T13:30:00Z,,Indianapolis Colts,Washington Commanders,,,,,scheduled,,
nfl-664e6bda5721dc63be16bcf7d962a436,nfl,2026-10-04,2026-10-04T17:00:00Z,,Arizona Cardinals,New York Giants,,,,,scheduled,,
nfl-f01589b0e7e6dd4f4ac1220a1db81f53,nfl,2026-10-04,2026-10-04T17:00:00Z,,Tennessee Titans,Baltimore Ravens,,,,,scheduled,,
nfl-573cc0ef39631a4f6673ec843a8bedd4,nfl,2026-10-04,2026-10-04T17:00:00Z,,New England Patriots,Buffalo Bills,,,,,scheduled,,
