id,game_id,sport,ts,book,away_ml,home_ml,snapshot_type,commence_time
1,mlb-7294e99a67c70c66b6edecf9841d4f03,mlb,2026-09-22T04:24:16.894352,pinnacle,1070,-3988,close,2026-09-22T01:46:00Z
2,mlb-7294e99a67c70c66b6edecf9841d4f03,mlb,2026-09-22T04:24:16.894352,betmgm,3300,-10000,close,2026-09-22T01:46:00Z
3,mlb-394e1e2b849c5b4eaf2b5984eaa74b79,mlb,2026-09-22T04:24:16.894352,fanduel,112,-132,close,2026-09-22T17:06:00Z
4,mlb-394e1e2b849c5b4eaf2b5984eaa74b79,mlb,2026-09-22T04:24:16.894352,betmgm,110,-135,close,2026-09-22T17:06:00Z
5,mlb-394e1e2b849c5b4eaf2b5984eaa74b79,mlb,2026-09-22T04:24:16.894352,draftkings,109,-131,close,2026-09-22T17:06:00Z
6,mlb-394e1e2b849c5b4eaf2b5984eaa74b79,mlb,2026-09-22T04:24:16.894352,pinnacle,116,-128,close,2026-09-22T17:06:00Z
7,mlb-7fafa79a573ac098f38c8c6c4293b93e,mlb,2026-09-22T04:24:16.894352,fanduel,102,-120,close,2026-09-22T22:36:00Z
8,mlb-7fafa79a573ac098f38c8c6c4293b93e,mlb,2026-09-22T04:24:16.894352,draftkings,101,-122,close,2026-09-22T22:36:00Z
9,mlb-7fafa79a573ac098f38c8c6c4293b93e,mlb,2026-09-22T04:24:16.894352,pinnacle,105,-116,close,2026-09-22T22:36:00Z
10,mlb-7fafa79a573ac098f38c8c6c4293b93e,mlb,2026-09-22T04:24:16.894352,betmgm,100,-120,close,2026-09-22T22:36:00Z
11,mlb-e1693becb4cbacb4b30e46c1c960d9a5,mlb,2026-09-22T04:24:16.894352,fanduel,134,-158,close,2026-09-22T22:41:00Z
12,mlb-e1693becb4cbacb4b30e46c1c960d9a5,mlb,2026-09-22T04:24:16.894352,draftkings,129,-156,close,2026-09-22T22:41:00Z
13,mlb-e1693becb4cbacb4b30e46c1c960d9a5,mlb,2026-09-22T04:24:16.894352,betmgm,135,-160,close,2026-09-22T22:41:00Z
14,mlb-e1693becb4cbacb4b30e46c1c960d9a5,mlb,2026-09-22T04:24:16.894352,pinnacle,131,-145,close,2026-09-22T22:41:00Z
15,mlb-2ec6c946384087513c61f58aad6e082f,mlb,2026-09-22T04:24:16.894352,fanduel,120,-142,close,2026-09-22T22:41:00Z
16,mlb-2ec6c946384087513c61f58aad6e082f,mlb,2026-09-22T04:24:16.894352,betmgm,115,-140,close,2026-09-22T22:41:00Z
17,mlb-2ec6c946384087513c61f58aad6e082f,mlb,2026-09-22T04:24:16.894352,draftkings,113,-137,close,2026-09-22T22:41:00Z
18,mlb-2ec6c946384087513c61f58aad6e082f,mlb,2026-09-22T04:24:16.894352,pinnacle,117,-129,close,2026-09-22T22:41:00Z
19,mlb-388cb001ef45b493163b9d37cf60f606,mlb,2026-09-22T04:24:16.894352,fanduel,126,-148,close,2026-09-22T22:41:00Z
20,mlb-388cb001ef45b493163b9d37cf60f606,mlb,2026-09-22T04:24:16.894352,betmgm,125,-150,close,2026-09-22T22:41:00Z
21,mlb-388cb001ef45b493163b9d37cf60f606,mlb,2026-09-22T04:24:16.894352,draftkings,129,-155,close,2026-09-22T22:41:00Z
22,mlb-388cb001ef45b493163b9d37cf60f606,mlb,2026-09-22T04:24:16.894352,pinnacle,132,-146,close,2026-09-22T22:41:00Z
23,mlb-3b4ceeb7bb4bee993b6876fead12eeba,mlb,2026-09-22T04:24:16.894352,fanduel,110,-130,close,2026-09-22T22:46:00Z
24,mlb-3b4ceeb7bb4bee993b6876fead12eeba,mlb,2026-09-22T04:24:16.894352,betmgm,110,-135,close,2026-09-22T22:46:00Z
