id,game_id,sport,ts,book,away_ml,home_ml,snapshot_type
47,mlb-ebb664c5095200280fa1b15540c2c88b,mlb,2026-09-21T23:36:22.746389,fanduel,-112,-104,open
48,mlb-ebb664c5095200280fa1b15540c2c88b,mlb,2026-09-21T23:36:22.746389,betmgm,-118,-102,open
49,mlb-ebb664c5095200280fa1b15540c2c88b,mlb,2026-09-21T23:36:22.746389,draftkings,-120,100,open
50,mlb-ebb664c5095200280fa1b15540c2c88b,mlb,2026-09-21T23:36:22.746389,pinnacle,-113,102,open
51,mlb-1cfde197827ecee7feb17929bf32793b,mlb,2026-09-21T23:36:22.746389,draftkings,123,-149,open
52,mlb-1cfde197827ecee7feb17929bf32793b,mlb,2026-09-21T23:36:22.746389,fanduel,122,-144,open
53,mlb-1cfde197827ecee7feb17929bf32793b,mlb,2026-09-21T23:36:22.746389,betmgm,120,-145,open
54,mlb-1cfde197827ecee7feb17929bf32793b,mlb,2026-09-21T23:36:22.746389,pinnacle,126,-139,open
55,mlb-afbac30624ec674873fd96ac159f69ad,mlb,2026-09-21T23:36:22.746389,fanduel,-188,158,open
56,mlb-afbac30624ec674873fd96ac159f69ad,mlb,2026-09-21T23:36:22.746389,betmgm,-200,165,open
57,mlb-afbac30624ec674873fd96ac159f69ad,mlb,2026-09-21T23:36:22.746389,draftkings,-198,163,open
58,mlb-afbac30624ec674873fd96ac159f69ad,mlb,2026-09-21T23:36:22.746389,pinnacle,-186,166,open
59,mlb-0ae15942e1f4c4657b06458868afbf96,mlb,2026-09-21T23:36:22.746389,fanduel,-104,-112,open
60,mlb-0ae15942e1f4c4657b06458868afbf96,mlb,2026-09-21T23:36:22.746389,draftkings,-108,-112,open
61,mlb-0ae15942e1f4c4657b06458868afbf96,mlb,2026-09-21T23:36:22.746389,betmgm,-110,-110,open
62,mlb-0ae15942e1f4c4657b06458868afbf96,mlb,2026-09-21T23:36:22.746389,pinnacle,-104,-106,open
63,mlb-a5e0deb6f51b7edebbd82d0eaf966294,mlb,2026-09-21T23:36:22.746389,fanduel,126,-148,open
64,mlb-a5e0deb6f51b7edebbd82d0eaf966294,mlb,2026-09-21T23:36:22.746389,betmgm,120,-145,open
65,mlb-a5e0deb6f51b7edebbd82d0eaf966294,mlb,2026-09-21T23:36:22.746389,draftkings,124,-150,open
66,mlb-a5e0deb6f51b7edebbd82d0eaf966294,mlb,2026-09-21T23:36:22.746389,pinnacle,132,-147,open
67,mlb-81f539754930db6ffbd116ca2d30ee9c,mlb,2026-09-21T23:36:22.746389,fanduel,-134,114,open
68,mlb-81f539754930db6ffbd116ca2d30ee9c,mlb,2026-09-21T23:36:22.746389,draftkings,-135,112,open
69,mlb-81f539754930db6ffbd116ca2d30ee9c,mlb,2026-09-21T23:36:22.746389,betmgm,-135,110,open
70,mlb-81f539754930db6ffbd116ca2d30ee9c,mlb,2026-09-21T23:36:22.746389,pinnacle,-128,116,open
71,mlb-85b75fcab1b69e0a4e414382b9f1cc7e,mlb,2026-09-21T23:36:22.746389,fanduel,102,-120,open
72,mlb-85b75fcab1b69e0a4e414382b9f1cc7e,mlb,2026-09-21T23:36:22.746389,draftkings,101,-122,open
73,nfl-32367f882fac1a0c20a6335619922025,nfl,2026-09-21T23:36:22.899782,draftkings,240,-298,open
74,nfl-32367f882fac1a0c20a6335619922025,nfl,2026-09-21T23:36:22.899782,fanduel,245,-300,open
75,nfl-32367f882fac1a0c20a6335619922025,nfl,2026-09-21T23:36:22.899782,betmgm,240,-295,open
76,nfl-32367f882fac1a0c20a6335619922025,nfl,2026-09-21T23:36:22.899782,pinnacle,242,-279,open
77,nfl-e5fbd3b3953b896b1bf897ddadb3cc4b,nfl,2026-09-21T23:36:22.899782,draftkings,240,-298,open
78,nfl-e5fbd3b3953b896b1bf897ddadb3cc4b,nfl,2026-09-21T23:36:22.899782,fanduel,225,-275,open
79,nfl-e5fbd3b3953b896b1bf897ddadb3cc4b,nfl,2026-09-21T23:36:22.899782,betmgm,240,-295,open
80,nfl-e5fbd3b3953b896b1bf897ddadb3cc4b,nfl,2026-09-21T23:36:22.899782,pinnacle,234,-277,open
81,nfl-b225458a282e140c44c45651255f2f6c,nfl,2026-09-21T23:36:22.899782,draftkings,250,-310,open
82,nfl-b225458a282e140c44c45651255f2f6c,nfl,2026-09-21T23:36:22.899782,fanduel,290,-360,open
