id,game_id,sport,ts,book,away_ml,home_ml,snapshot_type,commence_time
37,mlb-ebb664c5095200280fa1b15540c2c88b,mlb,2026-09-22T17:58:45.615376,fanduel,-118,100,open,2026-09-22T23:41:00Z
38,mlb-ebb664c5095200280fa1b15540c2c88b,mlb,2026-09-22T17:58:45.615376,betmgm,-120,100,open,2026-09-22T23:41:00Z
39,mlb-ebb664c5095200280fa1b15540c2c88b,mlb,2026-09-22T17:58:45.615376,draftkings,-125,104,open,2026-09-22T23:41:00Z
40,mlb-ebb664c5095200280fa1b15540c2c88b,mlb,2026-09-22T17:58:45.615376,pinnacle,-112,104,open,2026-09-22T23:41:00Z
41,mlb-1cfde197827ecee7feb17929bf32793b,mlb,2026-09-22T17:58:45.615376,draftkings,110,-133,open,2026-09-23T00:05:00Z
42,mlb-1cfde197827ecee7feb17929bf32793b,mlb,2026-09-22T17:58:45.615376,fanduel,110,-130,open,2026-09-23T00:05:00Z
43,mlb-1cfde197827ecee7feb17929bf32793b,mlb,2026-09-22T17:58:45.615376,betmgm,105,-125,open,2026-09-23T00:05:00Z
44,mlb-1cfde197827ecee7feb17929bf32793b,mlb,2026-09-22T17:58:45.615376,pinnacle,109,-118,open,2026-09-23T00:05:00Z
45,mlb-afbac30624ec674873fd96ac159f69ad,mlb,2026-09-22T17:58:45.615376,fanduel,-194,162,open,2026-09-23T00:41:00Z
46,mlb-afbac30624ec674873fd96ac159f69ad,mlb,2026-09-22T17:58:45.615376,betmgm,-200,165,open,2026-09-23T00:41:00Z
47,mlb-afbac30624ec674873fd96ac159f69ad,mlb,2026-09-22T17:58:45.615376,draftkings,-198,162,open,2026-09-23T00:41:00Z
48,mlb-afbac30624ec674873fd96ac159f69ad,mlb,2026-09-22T17:58:45.615376,pinnacle,-189,172,open,2026-09-23T00:41:00Z
49,mlb-0ae15942e1f4c4657b06458868afbf96,mlb,2026-09-22T17:58:45.615376,fanduel,-108,-108,open,2026-09-23T01:41:00Z
50,mlb-0ae15942e1f4c4657b06458868afbf96,mlb,2026-09-22T17:58:45.615376,draftkings,-108,-111,open,2026-09-23T01:41:00Z
51,mlb-0ae15942e1f4c4657b06458868afbf96,mlb,2026-09-22T17:58:45.615376,betmgm,-110,-110,open,2026-09-23T01:41:00Z
52,mlb-0ae15942e1f4c4657b06458868afbf96,mlb,2026-09-22T17:58:45.615376,pinnacle,-104,-104,open,2026-09-23T01:41:00Z
53,mlb-a5e0deb6f51b7edebbd82d0eaf966294,mlb,2026-09-22T17:58:45.615376,fanduel,120,-142,open,2026-09-23T01:41:00Z
54,mlb-a5e0deb6f51b7edebbd82d0eaf966294,mlb,2026-09-22T17:58:45.615376,betmgm,115,-140,open,2026-09-23T01:41:00Z
55,mlb-a5e0deb6f51b7edebbd82d0eaf966294,mlb,2026-09-22T17:58:45.615376,draftkings,113,-137,open,2026-09-23T01:41:00Z
56,mlb-a5e0deb6f51b7edebbd82d0eaf966294,mlb,2026-09-22T17:58:45.615376,pinnacle,118,-128,open,2026-09-23T01:41:00Z
57,mlb-81f539754930db6ffbd116ca2d30ee9c,mlb,2026-09-22T17:58:45.615376,fanduel,-134,114,open,2026-09-23T01:46:00Z
58,mlb-81f539754930db6ffbd116ca2d30ee9c,mlb,2026-09-22T17:58:45.615376,draftkings,-135,112,open,2026-09-23T01:46:00Z
59,mlb-81f539754930db6ffbd116ca2d30ee9c,mlb,2026-09-22T17:58:45.615376,betmgm,-135,110,open,2026-09-23T01:46:00Z
