game_id,sport,game_date,away,home,away_starter,home_starter,away_score,home_score,status,away_starter_id,home_starter_id
mlb-e1693becb4cbacb4b30e46c1c960d9a5,mlb,2026-09-22,Washington Nationals,Detroit Tigers,,,,,scheduled,,
mlb-2ec6c946384087513c61f58aad6e082f,mlb,2026-09-22,Milwaukee Brewers,Philadelphia Phillies,,,,,scheduled,,
mlb-388cb001ef45b493163b9d37cf60f606,mlb,2026-09-22,St. Louis Cardinals,Pittsburgh Pirates,,,,,scheduled,,
mlb-3b4ceeb7bb4bee993b6876fead12eeba,mlb,2026-09-22,Cleveland Guardians,Boston Red Sox,,,,,scheduled,,
mlb-574050c10d1acc2da7baf72384eeaa11,mlb,2026-09-22,Tampa Bay Rays,New York Yankees,,,,,scheduled,,
mlb-0c17c76059d99e5bb249df6a7c540127,mlb,2026-09-22,Cincinnati Reds,Atlanta Braves,,,,,scheduled,,
mlb-82b37a47daa08ef041c888d37b999303,mlb,2026-09-22,Miami Marlins,Chicago Cubs,,,,,scheduled,,
mlb-ebb664c5095200280fa1b15540c2c88b,mlb,2026-09-22,Chicago White Sox,Kansas City Royals,,,,,scheduled,,
mlb-1cfde197827ecee7feb17929bf32793b,mlb,2026-09-23,New York Mets,Texas Rangers,,,,,scheduled,,
mlb-afbac30624ec674873fd96ac159f69ad,mlb,2026-09-23,Arizona Diamondbacks,Colorado Rockies,,,,,scheduled,,
mlb-0ae15942e1f4c4657b06458868afbf96,mlb,2026-09-23,Los Angeles Angels,Athletics,,,,,scheduled,,
mlb-a5e0deb6f51b7edebbd82d0eaf966294,mlb,2026-09-23,Houston Astros,Seattle Mariners,,,,,scheduled,,
mlb-81f539754930db6ffbd116ca2d30ee9c,mlb,2026-09-23,Minnesota Twins,San Francisco Giants,,,,,scheduled,,
mlb-85b75fcab1b69e0a4e414382b9f1cc7e,mlb,2026-09-23,San Diego Padres,Los Angeles Dodgers,,,,,scheduled,,
mlb-ad00c94ceb671349678549cf07c393d5,mlb,2026-09-23,Washington Nationals,Detroit Tigers,,,,,scheduled,,
mlb-cc3886440708c8649f6f878183416628,mlb,2026-09-23,Toronto Blue Jays,Baltimore Orioles,,,,,scheduled,,
mlb-fce8a3b6e5ec9490fc276cdafa8beed8,mlb,2026-09-23,Minnesota Twins,San Francisco Giants,,,,,scheduled,,
mlb-6de7fdec72dbabadc09e788561c89a32,mlb,2026-09-23,Milwaukee Brewers,Philadelphia Phillies,,,,,scheduled,,
mlb-8a7f796244408c6c830bfc2be2edb9a9,mlb,2026-09-23,Tampa Bay Rays,New York Yankees,,,,,scheduled,,
mlb-c2e9498aaeb076eb5c7ec70719c85b49,mlb,2026-09-23,Cleveland Guardians,Boston Red Sox,,,,,scheduled,,
mlb-24e2844ddd06b300f6491b2912fa652c,mlb,2026-09-23,Cincinnati Reds,Atlanta Braves,,,,,scheduled,,
mlb-abd20077e0d7c1491fcc361d264cbc3d,mlb,2026-09-23,Miami Marlins,Chicago Cubs,,,,,scheduled,,
mlb-67a95b403897bde4e3f38d5448f9c94c,mlb,2026-09-23,Chicago White Sox,Kansas City Royals,,,,,scheduled,,
mlb-4e1d4c17ae27eeb2388a146c248b5fb6,mlb,2026-09-24,Arizona Diamondbacks,Colorado Rockies,,,,,scheduled,,
mlb-9537e2c00a118edc54c7b2b5ed0c6f55,mlb,2026-09-24,Los Angeles Angels,Athletics,,,,,scheduled,,
mlb-1cc251b3308daacf4f549c56ad233607,mlb,2026-09-24,San Diego Padres,Los Angeles Dodgers,,,,,scheduled,,
nfl-e5fbd3b3953b896b1bf897ddadb3cc4b,nfl,2026-09-25,Atlanta Falcons,Green Bay Packers,,,,,scheduled,,
nfl-b225458a282e140c44c45651255f2f6c,nfl,2026-09-27,Los Angeles Chargers,Buffalo Bills,,,,,scheduled,,
nfl-613b8cd3a5fab58f7be4e3fd6f76223e,nfl,2026-09-27,Carolina Panthers,Cleveland Browns,,,,,scheduled,,
nfl-71123be049587b6facce3a20c53e5d09,nfl,2026-09-27,Cincinnati Bengals,Pittsburgh Steelers,,,,,scheduled,,
nfl-07f552badfa8a565d1be22123713e4da,nfl,2026-09-27,New York Jets,Detroit Lions,,,,,scheduled,,
nfl-17a730b7d399feeab6a78c30767c29d2,nfl,2026-09-27,Houston Texans,Indianapolis Colts,,,,,scheduled,,
nfl-1f3cfd315a24d1a7dd5859a8e6b88e18,nfl,2026-09-27,New England Patriots,Jacksonville Jaguars,,,,,scheduled,,
nfl-0339a0e41bcee12820eb3e64bb5fadb4,nfl,2026-09-27,Kansas City Chiefs,Miami Dolphins,,,,,scheduled,,
nfl-555afd4a27aaa392662881cffa8f2eef,nfl,2026-09-27,Tennessee Titans,New York Giants,,,,,scheduled,,
nfl-2a529c108305ffa049d8b6cfdbaa4d36,nfl,2026-09-27,Seattle Seahawks,Washington Commanders,,,,,scheduled,,
nfl-9d2b09e0f9b6dd5ce0d985894f4f98fa,nfl,2026-09-27,Arizona Cardinals,San Francisco 49ers,,,,,scheduled,,
nfl-f1724dead3eab61546033032fc782375,nfl,2026-09-27,Minnesota Vikings,Tampa Bay Buccaneers,,,,,scheduled,,
nfl-84cfca14efc21363fd605508404cf1ff,nfl,2026-09-27,Baltimore Ravens,Dallas Cowboys,,,,,scheduled,,
nfl-2e523fcb0497aa689473e290eb2b97de,nfl,2026-09-27,Las Vegas Raiders,New Orleans Saints,,,,,scheduled,,
nfl-3bfd8bfb4b8e9a365a0877879b73b16b,nfl,2026-09-28,Los Angeles Rams,Denver Broncos,,,,,scheduled,,
nfl-47dc7baa254659f3beb2ed2b38c207b6,nfl,2026-09-29,Philadelphia Eagles,Chicago Bears,,,,,scheduled,,
nfl-d55cb69fed50a09170560b5b75d8de86,nfl,2026-10-02,Pittsburgh Steelers,Cleveland Browns,,,,,scheduled,,
nfl-c9d8ed8aa4889486eaf10a630138ede0,nfl,2026-10-04,Indianapolis Colts,Washington Commanders,,,,,scheduled,,
nfl-664e6bda5721dc63be16bcf7d962a436,nfl,2026-10-04,Arizona Cardinals,New York Giants,,,,,scheduled,,
nfl-f01589b0e7e6dd4f4ac1220a1db81f53,nfl,2026-10-04,Tennessee Titans,Baltimore Ravens,,,,,scheduled,,
nfl-573cc0ef39631a4f6673ec843a8bedd4,nfl,2026-10-04,New England Patriots,Buffalo Bills,,,,,scheduled,,
nfl-164e6eb68f31bac190381903c3cccd31,nfl,2026-10-04,New York Jets,Chicago Bears,,,,,scheduled,,
nfl-2ea94ddf20f66432b9024fe2e2eaba5f,nfl,2026-10-04,Jacksonville Jaguars,Cincinnati Bengals,,,,,scheduled,,
nfl-daf55e2df5341c007fee5a0fc5bbc2d4,nfl,2026-10-04,Dallas Cowboys,Houston Texans,,,,,scheduled,,
nfl-99a9bae4dc0dc2590496bd3102b211f2,nfl,2026-10-04,Green Bay Packers,Tampa Bay Buccaneers,,,,,scheduled,,
nfl-1b4f2e60ce83fa1d63a5dff83769d27c,nfl,2026-10-04,Los Angeles Rams,Philadelphia Eagles,,,,,scheduled,,
nfl-c327223d76a3b7b0db8c6c104442f44b,nfl,2026-10-04,Miami Dolphins,Minnesota Vikings,,,,,scheduled,,
nfl-a7e7efb75a9792ac63480ae6328dca18,nfl,2026-10-04,Denver Broncos,San Francisco 49ers,,,,,scheduled,,
nfl-e0cbd266dcf997089203a1b33ba0333d,nfl,2026-10-04,Kansas City Chiefs,Las Vegas Raiders,,,,,scheduled,,
nfl-96d2373cda647873b971f268482bced0,nfl,2026-10-04,Los Angeles Chargers,Seattle Seahawks,,,,,scheduled,,
nfl-a73a76599a4f3422803e57bd8f61b626,nfl,2026-10-05,Detroit Lions,Carolina Panthers,,,,,scheduled,,
nfl-8bd90781e17e6d97df3941063cedae1e,nfl,2026-10-06,Atlanta Falcons,New Orleans Saints,,,,,scheduled,,
