game_id,sport,game_date,start_time_utc,venue_id,away,home,away_starter,home_starter,away_score,home_score,status,away_starter_id,home_starter_id
mlb-824301,mlb,2026-09-23,2026-09-24T00:40:00Z,19,Arizona Diamondbacks,Colorado Rockies,Merrill Kelly,Mason Adams,5,3,final,518876,690279
mlb-824951,mlb,2026-09-23,2026-09-24T01:40:00Z,2529,Los Angeles Angels,Athletics,Walbert Ureña,Jeffrey Springs,3,7,final,700712,605488
mlb-823894,mlb,2026-09-23,2026-09-24T02:10:00Z,22,San Diego Padres,Los Angeles Dodgers,Robbie Ray,Yoshinobu Yamamoto,5,1,final,592662,808967
mlb-823086,mlb,2026-09-23,2026-09-24T02:10:00Z,680,Houston Astros,Seattle Mariners,Ethan Pecko,George Kirby,5,6,final,814490,669923
mlb-espn-401817063,mlb,2026-09-24,2026-09-24T16:35Z,,St. Louis Cardinals,Pittsburgh Pirates,,,,,scheduled,,
mlb-espn-401817065,mlb,2026-09-24,2026-09-24T18:10Z,,Chicago White Sox,Kansas City Royals,,,,,scheduled,,
mlb-espn-401817066,mlb,2026-09-24,2026-09-24T18:20Z,,Miami Marlins,Chicago Cubs,,,,,scheduled,,
mlb-espn-401817067,mlb,2026-09-24,2026-09-24T18:35Z,,New York Mets,Texas Rangers,,,,,scheduled,,
mlb-espn-401817068,mlb,2026-09-24,2026-09-24T19:10Z,,Arizona Diamondbacks,Colorado Rockies,,,,,scheduled,,
mlb-espn-401817062,mlb,2026-09-24,2026-09-24T22:05Z,,Milwaukee Brewers,Philadelphia Phillies,,,,,scheduled,,
mlb-espn-401817061,mlb,2026-09-24,2026-09-24T22:45Z,,Cleveland Guardians,Boston Red Sox,,,,,scheduled,,
mlb-espn-401817064,mlb,2026-09-24,2026-09-24T23:05Z,,Tampa Bay Rays,New York Yankees,,,,,scheduled,,
mlb-espn-401817060,mlb,2026-09-24,2026-09-24T23:15Z,,Cincinnati Reds,Atlanta Braves,,,,,scheduled,,
mlb-espn-401817069,mlb,2026-09-24,2026-09-25T01:40Z,,Los Angeles Angels,Seattle Mariners,,,,,scheduled,,
mlb-espn-401817070,mlb,2026-09-24,2026-09-25T01:40Z,,Houston Astros,Athletics,,,,,scheduled,,
mlb-espn-401817071,mlb,2026-09-24,2026-09-25T02:10Z,,San Diego Padres,Los Angeles Dodgers,,,,,scheduled,,
nfl-espn-401872948,nfl,2026-09-24,2026-09-25T00:15Z,,Atlanta Falcons,Green Bay Packers,,,,,scheduled,,
mlb-823326,mlb,2026-09-24,2026-09-24T16:35:00Z,31,St. Louis Cardinals,Pittsburgh Pirates,Kyle Leahy,Paul Skenes,,,scheduled,681517,694973
mlb-824059,mlb,2026-09-24,2026-09-24T18:10:00Z,7,Chicago White Sox,Kansas City Royals,David Sandlin,Randy Dobnak,,,scheduled,689818,677976
mlb-824623,mlb,2026-09-24,2026-09-24T18:20:00Z,17,Miami Marlins,Chicago Cubs,Tyler Phillips,Matthew Boyd,,,scheduled,663969,571510
mlb-822842,mlb,2026-09-24,2026-09-24T18:35:00Z,5325,New York Mets,Texas Rangers,Zac Thornton,Kumar Rocker,,,scheduled,804267,677958
mlb-824298,mlb,2026-09-24,2026-09-24T19:10:00Z,19,Arizona Diamondbacks,Colorado Rockies,Eduardo Rodriguez,Tanner Gordon,,,scheduled,593958,685299
mlb-823411,mlb,2026-09-24,2026-09-24T22:05:00Z,2681,Milwaukee Brewers,Philadelphia Phillies,Bryse Wilson,Andrew Painter,,,scheduled,669060,691725
mlb-824707,mlb,2026-09-24,2026-09-24T22:45:00Z,3,Cleveland Guardians,Boston Red Sox,Daniel Espino,Ranger Suarez,,,scheduled,682982,624133
mlb-823493,mlb,2026-09-24,2026-09-24T23:05:00Z,3313,Tampa Bay Rays,New York Yankees,Ian Seymour,Cam Schlittler,,,scheduled,693855,693645
mlb-824866,mlb,2026-09-24,2026-09-24T23:15:00Z,4705,Cincinnati Reds,Atlanta Braves,Brady Singer,Tyler Mahle,,,scheduled,663903,641816
mlb-824950,mlb,2026-09-24,2026-09-25T01:40:00Z,2529,Houston Astros,Athletics,Peter Lambert,Mason Barnett,,,scheduled,663567,686930
mlb-823087,mlb,2026-09-24,2026-09-25T01:40:00Z,680,Los Angeles Angels,Seattle Mariners,Grayson Rodriguez,Bryan Woo,,,scheduled,680570,693433
mlb-823895,mlb,2026-09-24,2026-09-25T02:10:00Z,22,San Diego Padres,Los Angeles Dodgers,Nick Pivetta,Tyler Glasnow,,,scheduled,601713,607192
