game_id,sport,game_date,start_time_utc,venue_id,away,home,away_starter,home_starter,away_score,home_score,status,away_starter_id,home_starter_id
mlb-espn-401817051,mlb,2026-09-23,2026-09-23T17:10Z,,Washington Nationals,Detroit Tigers,,,4,2,final,,
mlb-espn-401923610,mlb,2026-09-23,2026-09-23T17:35Z,,Toronto Blue Jays,Baltimore Orioles,,,2,4,final,,
mlb-espn-401817058,mlb,2026-09-23,2026-09-23T19:45Z,,Minnesota Twins,San Francisco Giants,,,4,2,final,,
mlb-espn-401817050,mlb,2026-09-23,2026-09-23T22:35Z,,Toronto Blue Jays,Baltimore Orioles,,,2,4,final,,
mlb-espn-401817047,mlb,2026-09-23,2026-09-23T22:40Z,,Milwaukee Brewers,Philadelphia Phillies,,,4,1,final,,
mlb-espn-401817048,mlb,2026-09-23,2026-09-23T22:40Z,,St. Louis Cardinals,Pittsburgh Pirates,,,5,1,final,,
mlb-espn-401817046,mlb,2026-09-23,2026-09-23T23:00Z,,Cleveland Guardians,Boston Red Sox,,,0,1,final,,
mlb-espn-401817049,mlb,2026-09-23,2026-09-23T23:05Z,,Tampa Bay Rays,New York Yankees,,,2,9,final,,
mlb-espn-401817045,mlb,2026-09-23,2026-09-23T23:15Z,,Cincinnati Reds,Atlanta Braves,,,2,3,final,,
mlb-espn-401817052,mlb,2026-09-23,2026-09-23T23:40Z,,Chicago White Sox,Kansas City Royals,,,4,5,final,,
mlb-espn-401817053,mlb,2026-09-23,2026-09-23T23:40Z,,Miami Marlins,Chicago Cubs,,,3,2,final,,
mlb-espn-401817054,mlb,2026-09-23,2026-09-24T00:05Z,,New York Mets,Texas Rangers,,,7,2,final,,
mlb-espn-401817055,mlb,2026-09-23,2026-09-24T00:40Z,,Arizona Diamondbacks,Colorado Rockies,,,5,3,final,,
mlb-espn-401817056,mlb,2026-09-23,2026-09-24T01:40Z,,Los Angeles Angels,Athletics,,,3,7,final,,
mlb-espn-401817057,mlb,2026-09-23,2026-09-24T02:00Z,,Houston Astros,Seattle Mariners,,,5,6,final,,
mlb-espn-401817059,mlb,2026-09-23,2026-09-24T02:10Z,,San Diego Padres,Los Angeles Dodgers,,,5,1,final,,
mlb-824223,mlb,2026-09-23,2026-09-23T17:10:00Z,2394,Washington Nationals,Detroit Tigers,Richard Lovelady,Framber Valdez,4,2,final,663992,664285
mlb-824785,mlb,2026-09-23,2026-09-23T17:35:00Z,2,Toronto Blue Jays,Baltimore Orioles,Max Scherzer,Chris Bassitt,2,4,final,453286,605135
mlb-824784,mlb,2026-09-23,2026-09-23T22:35:00Z,2,Toronto Blue Jays,Baltimore Orioles,CJ Van Eyk,Trey Gibson,2,4,final,669310,694346
mlb-823168,mlb,2026-09-23,2026-09-23T19:45:00Z,2395,Minnesota Twins,San Francisco Giants,Connor Prielipp,Cesar Perdomo,4,2,final,687570,702885
mlb-823327,mlb,2026-09-23,2026-09-23T22:40:00Z,31,St. Louis Cardinals,Pittsburgh Pirates,Matthew Liberatore,Lake Bachar,5,1,final,669461,669199
mlb-823410,mlb,2026-09-23,2026-09-23T22:40:00Z,2681,Milwaukee Brewers,Philadelphia Phillies,Logan Henderson,Aaron Nola,4,1,final,701656,605400
mlb-823492,mlb,2026-09-23,2026-09-23T23:05:00Z,3313,Tampa Bay Rays,New York Yankees,Mason Englert,Gerrit Cole,2,9,final,669438,543037
mlb-824710,mlb,2026-09-23,2026-09-23T23:10:00Z,3,Cleveland Guardians,Boston Red Sox,Foster Griffin,Sonny Gray,0,1,final,656492,543243
mlb-824868,mlb,2026-09-23,2026-09-23T23:15:00Z,4705,Cincinnati Reds,Atlanta Braves,Andrew Abbott,Chris Sale,2,3,final,671096,519242
mlb-824060,mlb,2026-09-23,2026-09-23T23:40:00Z,7,Chicago White Sox,Kansas City Royals,Bryan Hudson,Seth Lugo,4,5,final,663542,607625
mlb-824625,mlb,2026-09-23,2026-09-23T23:40:00Z,17,Miami Marlins,Chicago Cubs,Ryan Gusto,Kevin Gausman,3,2,final,687473,592332
mlb-822841,mlb,2026-09-23,2026-09-24T00:05:00Z,5325,New York Mets,Texas Rangers,Nolan McLean,Cody Bradford,7,2,final,690997,674003
