id,game_id,sport,ts,book,away_ml,home_ml,snapshot_type,commence_time,market_last_update
1,mlb-73db56fa7f40cff18d189c5d7dc7d903,mlb,2026-09-24T23:51:22.667325+00:00,fanduel,122,-156,close,2026-09-24T22:06:00Z,2026-09-24T23:50:58Z
2,mlb-73db56fa7f40cff18d189c5d7dc7d903,mlb,2026-09-24T23:51:22.667325+00:00,draftkings,107,-140,close,2026-09-24T22:06:00Z,2026-09-24T23:50:41Z
3,mlb-73db56fa7f40cff18d189c5d7dc7d903,mlb,2026-09-24T23:51:22.667325+00:00,betmgm,115,-145,close,2026-09-24T22:06:00Z,2026-09-24T23:50:42Z
4,mlb-73db56fa7f40cff18d189c5d7dc7d903,mlb,2026-09-24T23:51:22.667325+00:00,pinnacle,134,-163,close,2026-09-24T22:06:00Z,2026-09-24T23:51:14Z
5,mlb-d0e9c7cf726e88320154be5ef2ccf0a1,mlb,2026-09-24T23:51:22.667325+00:00,fanduel,-200,154,close,2026-09-24T22:46:00Z,2026-09-24T23:50:58Z
6,mlb-d0e9c7cf726e88320154be5ef2ccf0a1,mlb,2026-09-24T23:51:22.667325+00:00,draftkings,-225,168,close,2026-09-24T22:46:00Z,2026-09-24T23:50:41Z
7,mlb-d0e9c7cf726e88320154be5ef2ccf0a1,mlb,2026-09-24T23:51:22.667325+00:00,betmgm,-220,175,close,2026-09-24T22:46:00Z,2026-09-24T23:50:42Z
8,mlb-d0e9c7cf726e88320154be5ef2ccf0a1,mlb,2026-09-24T23:51:22.667325+00:00,pinnacle,-196,166,close,2026-09-24T22:46:00Z,2026-09-24T23:51:14Z
9,mlb-db3b790ee721c10b3644dbeef61f370c,mlb,2026-09-24T23:51:22.667325+00:00,fanduel,-180,140,close,2026-09-24T23:06:00Z,2026-09-24T23:50:58Z
10,mlb-db3b790ee721c10b3644dbeef61f370c,mlb,2026-09-24T23:51:22.667325+00:00,draftkings,-179,136,close,2026-09-24T23:06:00Z,2026-09-24T23:50:41Z
11,mlb-db3b790ee721c10b3644dbeef61f370c,mlb,2026-09-24T23:51:22.667325+00:00,betmgm,-200,160,close,2026-09-24T23:06:00Z,2026-09-24T23:50:42Z
12,mlb-db3b790ee721c10b3644dbeef61f370c,mlb,2026-09-24T23:51:22.667325+00:00,pinnacle,125,-151,close,2026-09-24T23:06:00Z,2026-09-24T23:51:14Z
13,mlb-78fdc82ac76963c18badf5271be59870,mlb,2026-09-24T23:51:22.667325+00:00,fanduel,560,-1000,close,2026-09-24T23:16:00Z,2026-09-24T23:50:58Z
14,mlb-78fdc82ac76963c18badf5271be59870,mlb,2026-09-24T23:51:22.667325+00:00,draftkings,583,-1120,close,2026-09-24T23:16:00Z,2026-09-24T23:50:41Z
15,mlb-78fdc82ac76963c18badf5271be59870,mlb,2026-09-24T23:51:22.667325+00:00,betmgm,500,-800,close,2026-09-24T23:16:00Z,2026-09-24T23:50:42Z
16,mlb-78fdc82ac76963c18badf5271be59870,mlb,2026-09-24T23:51:22.667325+00:00,pinnacle,776,-1144,close,2026-09-24T23:16:00Z,2026-09-24T23:51:14Z
17,mlb-d1094cf64d0cccf98c76920fd2548c38,mlb,2026-09-24T23:51:22.667325+00:00,fanduel,-178,150,close,2026-09-25T01:41:00Z,2026-09-24T23:50:58Z
18,mlb-d1094cf64d0cccf98c76920fd2548c38,mlb,2026-09-24T23:51:22.667325+00:00,draftkings,-179,147,close,2026-09-25T01:41:00Z,2026-09-24T23:50:41Z
