season,week,game_id,home_team,away_team,kickoff_utc,snapshot_utc,slot,markets
2023,2,2023_02_NO_CAR,CAR,NO,2023-09-18 23:15:00+00:00,2023-09-18 22:15:00+00:00,2023-09-18 22:15:00+00:00,"player_receptions,player_reception_yds"
2023,2,2023_02_CLE_PIT,PIT,CLE,2023-09-19 00:15:00+00:00,2023-09-18 23:15:00+00:00,2023-09-18 23:15:00+00:00,"player_receptions,player_reception_yds"
2023,3,2023_03_NYG_SF,SF,NYG,2023-09-22 00:15:00+00:00,2023-09-21 23:15:00+00:00,2023-09-21 23:15:00+00:00,"player_receptions,player_reception_yds"
2023,3,2023_03_LAC_MIN,MIN,LAC,2023-09-24 17:00:00+00:00,2023-09-24 16:00:00+00:00,2023-09-24 16:00:00+00:00,"player_receptions,player_reception_yds"
2023,3,2023_03_BUF_WAS,WAS,BUF,2023-09-24 17:00:00+00:00,2023-09-24 16:00:00+00:00,2023-09-24 16:00:00+00:00,"player_receptions,player_reception_yds"
2023,3,2023_03_NE_NYJ,NYJ,NE,2023-09-24 17:00:00+00:00,2023-09-24 16:00:00+00:00,2023-09-24 16:00:00+00:00,"player_receptions,player_reception_yds"
2023,3,2023_03_HOU_JAX,JAX,HOU,2023-09-24 17:00:00+00:00,2023-09-24 16:00:00+00:00,2023-09-24 16:00:00+00:00,"player_receptions,player_reception_yds"
2023,3,2023_03_DEN_MIA,MIA,DEN,2023-09-24 17:00:00+00:00,2023-09-24 16:00:00+00:00,2023-09-24 16:00:00+00:00,"player_receptions,player_reception_yds"
2023,3,2023_03_ATL_DET,DET,ATL,2023-09-24 17:00:00+00:00,2023-09-24 16:00:00+00:00,2023-09-24 16:00:00+00:00,"player_receptions,player_reception_yds"
2023,3,2023_03_TEN_CLE,CLE,TEN,2023-09-24 17:00:00+00:00,2023-09-24 16:00:00+00:00,2023-09-24 16:00:00+00:00,"player_receptions,player_reception_yds"
2023,3,2023_03_IND_BAL,BAL,IND,2023-09-24 17:00:00+00:00,2023-09-24 16:00:00+00:00,2023-09-24 16:00:00+00:00,"player_receptions,player_reception_yds"
2023,3,2023_03_NO_GB,GB,NO,2023-09-24 17:00:00+00:00,2023-09-24 16:00:00+00:00,2023-09-24 16:00:00+00:00,"player_receptions,player_reception_yds"
2023,3,2023_03_CAR_SEA,SEA,CAR,2023-09-24 20:05:00+00:00,2023-09-24 19:05:00+00:00,2023-09-24 19:05:00+00:00,"player_receptions,player_reception_yds"
2023,3,2023_03_DAL_ARI,ARI,DAL,2023-09-24 20:25:00+00:00,2023-09-24 19:25:00+00:00,2023-09-24 19:25:00+00:00,"player_receptions,player_reception_yds"
2023,3,2023_03_CHI_KC,KC,CHI,2023-09-24 20:25:00+00:00,2023-09-24 19:25:00+00:00,2023-09-24 19:25:00+00:00,"player_receptions,player_reception_yds"
2023,3,2023_03_PIT_LV,LV,PIT,2023-09-25 00:20:00+00:00,2023-09-24 23:20:00+00:00,2023-09-24 23:20:00+00:00,"player_receptions,player_reception_yds"
2023,3,2023_03_PHI_TB,TB,PHI,2023-09-25 23:15:00+00:00,2023-09-25 22:15:00+00:00,2023-09-25 22:15:00+00:00,"player_receptions,player_reception_yds"
2023,3,2023_03_LA_CIN,CIN,LA,2023-09-26 00:15:00+00:00,2023-09-25 23:15:00+00:00,2023-09-25 23:15:00+00:00,"player_receptions,player_reception_yds"
2023,4,2023_04_DET_GB,GB,DET,2023-09-29 00:15:00+00:00,2023-09-28 23:15:00+00:00,2023-09-28 23:15:00+00:00,"player_receptions,player_reception_yds"
2023,4,2023_04_ATL_JAX,JAX,ATL,2023-10-01 13:30:00+00:00,2023-10-01 12:30:00+00:00,2023-10-01 12:30:00+00:00,"player_receptions,player_reception_yds"
2023,4,2023_04_WAS_PHI,PHI,WAS,2023-10-01 17:00:00+00:00,2023-10-01 16:00:00+00:00,2023-10-01 16:00:00+00:00,"player_receptions,player_reception_yds"
2023,4,2023_04_TB_NO,NO,TB,2023-10-01 17:00:00+00:00,2023-10-01 16:00:00+00:00,2023-10-01 16:00:00+00:00,"player_receptions,player_reception_yds"
2023,4,2023_04_CIN_TEN,TEN,CIN,2023-10-01 17:00:00+00:00,2023-10-01 16:00:00+00:00,2023-10-01 16:00:00+00:00,"player_receptions,player_reception_yds"
2023,4,2023_04_LA_IND,IND,LA,2023-10-01 17:00:00+00:00,2023-10-01 16:00:00+00:00,2023-10-01 16:00:00+00:00,"player_receptions,player_reception_yds"
2023,4,2023_04_MIA_BUF,BUF,MIA,2023-10-01 17:00:00+00:00,2023-10-01 16:00:00+00:00,2023-10-01 16:00:00+00:00,"player_receptions,player_reception_yds"
2023,4,2023_04_BAL_CLE,CLE,BAL,2023-10-01 17:00:00+00:00,2023-10-01 16:00:00+00:00,2023-10-01 16:00:00+00:00,"player_receptions,player_reception_yds"
